12,D,rise today congratul franci xavier parish school exemplari cathol school grang illinoi receiv prestigi 2013 u.s. depart educ nation blue ribbon school award establish 1890 franci xavier parish serv entir commun grang religi academ educ well commun servic 1982 depart educ establish nation blue ribbon school program recogn public privat school boast high significantli improv achiev program goal identifi aspect thrive american school order replic success proud except school honor locat district sit coupl mile home enjoy particip annual falcon event school mission franci xavier parish school provid student academ excel center cathol valu prayer learn servic student pledg uphold principl citizen world repres mission school digniti grace sinc 1917 school open door faculti staff provid excel educ student base found valu today franci xavier school offer program preschool eighth grade attract student grang grang park surround commun current enrol student proud graduat cathol jesuit school understand rigor engag curriculum emphas mathemat social studi scienc technolog languag art religion franci xavier school offer challeng educ experi foster success promot uniti respect individu student pleas join celebr accomplish franci xavier parish school nation blue ribbon award winner pursuit academ excel inspir hope success serv inspir school across nation,L000563
12,D,rise today recogn aviat depart lewi univers depart chair bill brogan receiv loen trophi award present collegi aviat program countri happi outstand program recogn nation lewi univers locat district seen signific growth aviat depart past year emerg nation preemin program septemb ceremoni held campu romeovil illinoi member lewi flight team along student faculti aviat transport depart hand receiv loen trophi visit lewi univers aviat depart number time past year impress variou aviat program undergradu graduat level aviat grow field program lewi provid student educ skill serv well everi year nation intercollegi fli associ consid aviat program across countri select recipi award base intens evalu sinc 1929 recipi repres current benchmark overal outstand aviat program hard work dedic lewi univers put academ commun involv comprehens safeti program proactiv enhanc futur aviat earn honor year set program apart truli top-tier colleagu join recogn lewi univers aviat transport depart congratul award loen trophi prove lewi continu collegi aviat leader illinoi nationwid student faculti lewi enjoy prestigi award continu work field aviat,L000563
9,D,"rise today recogn palmer place restaur biergarten grang illinoi 30th anniversari past three decad palmer place keyston downtown grang grown vibrant commun suburban chicago sinc found palmer place serv delici food qualiti beer warm welcom atmospher 1982 ruth palmer return home trip germani inspir open would first biergarten chicago western suburb despit riski busi circumst 1983 ruth mike palmer found palmer place restaur biergarten past year palmer famili monument reviv downtown grang help make thrive busi district today though restaur grown employe palmer place remain famili own oper ruth palmer pass mike palmer 1990 son phil steve palmer third gener palmer begun work famili busi kyle palmer merl palmer robert palmer famili commit commun extraordinari past year 2012 alon palmer place donat 50,000 gift-certif local chariti addit famili conduct contribut numer charit event famili commit illustr activ role play grang busi associ west suburban chamber commerc illinoi restaur associ colleagu join commend palmer place restaur biergarten 30th anniversari palmer famili flourish restaur shine exampl posit influenc local busi commun continu thrive grang serv exampl small busi entrepreneur",L000563
11,D,rise today recogn farmedher revolutionari vertic farm facil bedford park name up-and-com 12th annual chicago innov award march 2013 farmedher open world largest indoor vertic farm oper repurpos warehous farmedher use cutting-edg technolog advanc aquapon aeropon suppli chicagoland resid restaur chemical- herbicide- pesticide-fre herb veget fish farmedher oper continu expand becom effici prove sustain urban farm viabl option chicagoan provid local sourc food throughout chicago farmedher exemplifi environment respons busi practic instead expand horizont hundr acr farmedher field stack vertic grow technolog coupl local distribut reduc energi travel time cost farmedher extend green-think paper packag use percent less plastic tradit supermarket box recent farmedher partnership resourc center non-profit environment educ organ establish program allow farmedher convert organ wast compost compost use urban farm throughout chicago area help farm continu grow thrive addit provid resid local environmentally-friendli product farmedher posit affect chicago commun farmedher provid life chang opportun non-viol ex-offend hire train work vertic farm farmedher also aim expand oper bring job chicago commun 2014 help bolster local economi pleas hear great work result farmedher recognit chicago innov award year chicago innov award recogn innov product servic region across industri sector honor chicagoland creativ award strengthen region econom futur spread spirit innov chosen record-break pool applic farmedher name up-and-com award winner year up-and-com award recogn chicago premier start-up organ provid organ connect capit mentor busi resourc farmedher prize includ invit ring nasdaq bell york citi advertis exposur chicago transit author invit attend meet mayor rahm emanuel governor quinn profil crain chicago busi greatest sourc job u.s. economi start-up like farmedher deserv prais support farmedher vertic farm alik benefici economi environ proud one-of-a-kind facil locat district illinoi today colleagu join congratul entir farmedher famili recent honor wish mani year continu success,L000563
15,D,rise today honor sister jean mcgrath princip john fisher elementari school chicago past year sister mcgrath tirelessli work john fisher member congreg sister joseph work benefit school parish entir commun month sister jean affection call honor celebratori mass street mark honorari sign bear name 1963 jean mcgrath join congreg sister joseph join want somebodi could good make differ sister mcgrath continu make impact began work second-grad teacher john fisher 1986 block away childhood home even nun enter congreg left pursu famili life outsid church follow mother advic pursu vocat serv commun sister mcgrath start john fisher eleven nun serv staff today left almost three decad work second-grad teacher high school english teacher current role princip sister mcgrath continu guid counsel student teacher famili passion inspir join congreg half centuri passion fundament reason john fisher elementari school flourish past year time princip sister jean succeed develop technolog program creat exemplari music program foster student creativ mind throughout chang john fisher seen tenur sister jean welcom inspir spirit remain constant colleagu join recogn sister jean mcgrath year servic south side chicago congratul sister jean golden jubile continu guid inspir peopl year come serv exampl best qualiti human heart,L000563
12,D,rise today congratul michael school exemplari cathol elementari school orland park illinoi receiv prestigi 2013 u.s. depart educ nation blue ribbon school award 1982 depart educ establish nation blue ribbon school program recogn public privat school boast high significantli improv achiev program goal identifi aspect thrive american school order replic success proud michael school orland park district honor except school sinc first open door 1949 michael serv commun orland park provid divers challeng curriculum emphas academ moral valu disciplin mission michael school alway provid student learn environ reinforc principl valu church home commun effort prepar lifelong respons citizenship today michael school offer program preschool eighth grade attract student orland park surround commun current enrol student proud graduat cathol school understand rigor engag curriculum emphas mathemat social studi scienc technolog languag art religion michael offer challeng educ experi foster success promot uniti respect individu student last year pleasur visit michael school cathol school week enjoy tour school visit student came away impress student teacher administr leadership princip bernadett cutton made perfect sens michael chosen privat school nationwid receiv nation blue ribbon school award everyon school parish extrem proud pleas join celebr accomplish michael school nation blue ribbon award winner pursuit academ excel inspir hope success serv inspir school across nation,L000563
14,D,rise today celebr arbor illinoi take place april 25th year mark 65th arbor celebr state 143rd unit state event held year recogn celebr critic role tree play commun daili live,L000563
14,D,rise today honor villag lyon illinoi celebr 125th anniversari lyon enjoy long color histori begin late 17th centuri explor loui joliet father pierr marquett began quest western passag pacif decid return home green wisconsin explor learn path pottawatomi nativ american travel path connect chicago plain river includ futur site villag lyon hundr year later swampi path would becom illinoi michigan canal import canal histori unit state primari reason chicago becam nation transport chicago sanitari ship canal replac illinoi michigan canal remain critic link mississippi river great lake chicago grew lyon resid never forgot histor import site villag found built today statu stand chicago portag nation histor site honor histori along bank plain river sit anoth histor site hofmann tower built 1908 tower sit next former site electr hofmann built meant attract visitor area enjoy river bank 1978 hofmann tower name nation regist histor place mayor getti current work plan restor proud repres villag lyon prosper today leadership mayor chri getti novemb join mayor resid lyon crystal banquet celebr villag 125th anniversari colleagu join honor resid lyon illinoi 125th anniversari villag enjoy weekend celebr villag continu thrive close commun,L000563
15,D,rise today honor franci cardin georg 50th anniversari ordin priesthood yesterday join bishop around world hundr member chicago archdioces congratul cardin georg celebr mileston mass holi name cathedr chicago illinoi serv leader archdioces almost year franci eugen georg born 1937 franci julia georg chicago northwest side grew older sister margaret attend pascal school diagnos polio wear brace support muscl damag battl ill georg persev kept faith enrol henri preparatori seminari bellevil illinoi affili high school missionari oblat mari immacul would eventu join missionari oblat would make solemn member order georg ordain priest 1963 pascal church cathol educ start follow year receiv degre theolog univers ottawa first mani degre includ doctor philosophi tulan univers doctor sacr theolog pontif urbaniana univers spend time professor georg continu serv order becam vicar gener oblat mari immacul year travel mission poorest region africa latin america asia 1990 pope john paul appoint georg fifth bishop dioces yakima washington 1996 appoint ninth archbishop portland oregon instal pope john paul cathedr immacul concept georg would serv less year appoint pope john paul vacant chicago first nativ chicagoan appoint archbishop chicago serv million cathol differ parish within first year servic chicago georg elev honor cardin almost year cardin georg peopl chicago archdioces unmatch intellect warmth mass yesterday archbishop joseph kurtz presid u.s. confer cathol bishop aptli describ georg intellig articul courag curiou humbl zealou kurtz continu like pope franci gener heart zealou missionari spirit humbl vision today express admir cardin georg devot archdioces chicago entir commun honor lifetim achiev colleagu join wish franci cardin georg well celebr 50th anniversari ordin thank inspir servic,L000563
12,D,rise today recogn maria konopnicka polish languag school chicago lawn illinoi year school celebr 40th anniversari chicagoland home largest popul peopl polish descent live outsid poland polish languag school name great polish poet novelist activist maria konopnicka serv popul offer kindergarten high school student opportun connect explor polish heritag forti year school excel teach student polish languag histori cultur thousand children learn polish cultur heritag well role pole play unit state world commun futur emphasi civic respons school shape student dedic support improv chicago commun proud district school stress import student commun surround school appreci hard work dedic staff maria konopnicka polish languag school parent student understand school success thank unceas devot teacher administr staff work relentlessli benefit student colleagu join recogn outstand faculti student past present maria konopnicka polish languag school congratul special 40th anniversari school continu exhibit excel teach student polish cultur heritag languag year come,L000563
