t2,cos_sim,t1
m10k_t4,0.042377479256824363,m10k_t7
m10k_t5,0.14106580823285628,m10k_t7
m10k_t6,0.02165504995209129,m10k_t7
m10k_t7,1.0000000000000009,m10k_t7
m10k_t8,0.06217849006739256,m10k_t7
m10k_t9,0.085266115815243793,m10k_t7
m10k_t10,0.024524212280413328,m10k_t7
m15k_t11,0.2339552246763949,m10k_t7
m15k_t12,0.097390076713955692,m10k_t7
m15k_t13,0.18305360831349682,m10k_t7
m15k_t14,0.0032331699115387739,m10k_t7
m15k_t15,0.065084909046970701,m10k_t7
m15k_t16,0.033528544591198702,m10k_t7
m15k_t17,0.0043126584099897752,m10k_t7
m15k_t18,0.31388075923724684,m10k_t7
m15k_t19,0.18073392271793243,m10k_t7
m15k_t20,0.2208620132865324,m10k_t7
m15k_t21,0.19443885969509672,m10k_t7
m15k_t22,0.025586670131603415,m10k_t7
m15k_t23,0.08142669030291963,m10k_t7
m15k_t24,0.10859581716884109,m10k_t7
m15k_t25,0.080166385006909729,m10k_t7
m10k_t1,0.088351272028253144,m10k_t8
m10k_t2,0.027540326376833752,m10k_t8
m10k_t3,0.0085450415932083711,m10k_t8
m10k_t4,0.003328419502710431,m10k_t8
m10k_t5,0.01299640249287946,m10k_t8
m10k_t6,0.013339447819247331,m10k_t8
m10k_t7,0.06217849006739256,m10k_t8
m10k_t8,1.0000000000000004,m10k_t8
m10k_t9,0.048903766569325928,m10k_t8
m10k_t10,0.13488861620983589,m10k_t8
m15k_t11,0.10346017286497712,m10k_t8
m15k_t12,0.031568319217910805,m10k_t8
m15k_t13,0.02067475656889553,m10k_t8
m15k_t14,0.058015915332555172,m10k_t8
m15k_t15,0.035047080735953445,m10k_t8
m15k_t16,0.19747670886921087,m10k_t8
m15k_t17,0.13420867845217205,m10k_t8
m15k_t18,0.034097681855974254,m10k_t8
m15k_t19,0.23532387379750866,m10k_t8
m15k_t20,0.034146252146562979,m10k_t8
m15k_t21,0.052263432808613126,m10k_t8
m15k_t22,0.12889162164241452,m10k_t8
m15k_t23,0.12578754014846893,m10k_t8
m15k_t24,0.045097067233094951,m10k_t8
m15k_t25,0.12768073800284524,m10k_t8
m10k_t1,0.1647992999610173,m10k_t9
m10k_t2,0.13803300750379277,m10k_t9
m10k_t3,0.17043124906774754,m10k_t9
m10k_t4,0.02582459561197438,m10k_t9
m10k_t5,0.085502461117129641,m10k_t9
m10k_t6,0.16508547183517625,m10k_t9
m10k_t7,0.085266115815243793,m10k_t9
m10k_t8,0.048903766569325928,m10k_t9
m10k_t9,1.0000000000000011,m10k_t9
m10k_t10,0.20867224466116796,m10k_t9
m15k_t11,0.20847562958406801,m10k_t9
m15k_t12,0.22346408560475617,m10k_t9
m15k_t13,0.15272580385917722,m10k_t9
m15k_t14,0.18244601973096924,m10k_t9
m15k_t15,0.13513538464051153,m10k_t9
m15k_t16,0.077271555781482454,m10k_t9
