"full_state","district","total_pop","agr_pop","agr_pop_perc","state","st_dist","last_name","thomas_id","id","k55","k60","k65","k70","k85","agr_speeches","agr_per_dummy"
"Louisiana","1",796858,13457,0.0168875759545615,"LA","LA-1","Scalise","1892","S001176",0,0,0,0,0,0,"low"
"Louisiana","2",775807,5821,0.00750315477947479,"LA","LA-2","Richmond","2023","R000588",0.136363636363636,0,0,0,0,0.034,"low"
"Louisiana","3",777665,35415,0.0455401747539107,"LA","LA-3","Boustany Jr.","1787","B001255",NA,NA,NA,NA,NA,NA,"low"
"Louisiana","4",756663,17900,0.0236565023002314,"LA","LA-4","Fleming","1924","F000456",0,0,0,0,0,0,"low"
"Louisiana","5",750819,16014,0.0213287090497177,"LA","LA-5","Alexander","1727","A000361",0,0,0,0,0,0,"low"
"Louisiana","5",750819,16014,0.0213287090497177,"LA","LA-5","McAllister","2195","M001192",0.333333333333333,0,0,0,0,0.083,"low"
"Louisiana","6",791864,10497,0.0132560641726357,"LA","LA-6","Cassidy","1925","C001075",0,0,0,0,0,0,"low"
"Maine","1",673835,6885,0.0102176348809427,"ME","ME-1","Pingree","1927","P000597",0,0,0,0.25,0,0.062,"low"
"Maine","2",656254,11156,0.016999515431525,"ME","ME-2","Michaud","1730","M001149",0.0161290322580645,0.0161290322580645,0,0.0161290322580645,0,0.012,"low"
"Maryland","1",728405,6700,0.00919817958415991,"MD","MD-1","Harris","2026","H001052",0,0.333333333333333,0,0,0,0.083,"low"
"Maryland","2",743321,749,0.00100764003707685,"MD","MD-2","Ruppersberger","1728","R000576",0,0,0,0,0,0,"low"
"Maryland","3",768378,1091,0.00141987407239666,"MD","MD-3","Sarbanes","1854","S001168",0,0.181818181818182,0,0,0,0.045,"low"
"Maryland","4",742761,611,0.000822606464259701,"MD","MD-4","Edwards","1894","E000290",0.0625,0,0,0.0625,0,0.031,"low"
"Maryland","5",753079,1590,0.00211133227722457,"MD","MD-5","Hoyer","566","H000874",0,0.125,0,0,0,0.031,"low"
"Maryland","6",755369,3654,0.00483737087436736,"MD","MD-6","Delaney","2133","D000620",0,0,0,0,0,0,"low"
"Maryland","7",738431,2047,0.00277209380429587,"MD","MD-7","Cummings","256","C000984",0,0,0,0,0,0,"low"
"Maryland","8",746663,2273,0.00304421137782373,"MD","MD-8","Van Hollen","1729","V000128",0,0,0,0,0,0,"low"
"Massachusetts","1",733426,3673,0.00500800353409887,"MA","MA-1","Neal","854","N000015",0,0,0,0,0,0,"low"
"Massachusetts","2",736475,2102,0.00285413625717098,"MA","MA-2","McGovern","1504","M000312",0,0,0,0,0,0,"low"
"Massachusetts","3",755778,2069,0.00273757637824864,"MA","MA-3","Tsongas","1884","T000465",0,0,0,0,0,0,"low"
"Massachusetts","4",748190,1632,0.00218126411740333,"MA","MA-4","Kennedy III","2172","K000379",NA,NA,NA,NA,NA,NA,"low"
"Massachusetts","5",755944,438,0.000579407998476078,"MA","MA-5","Clark","2196","C001101",NA,NA,NA,NA,NA,NA,"low"
"Massachusetts","5",755944,438,0.000579407998476078,"MA","MA-5","Markey","735","M000133",0,0,0,0,0,0,"low"
"Massachusetts","6",757309,1932,0.0025511383068206,"MA","MA-6","Tierney","1535","T000266",0,0,0,0,0,0,"low"
"Massachusetts","7",769929,1255,0.00163002043045528,"MA","MA-7","Capuano","1564","C001037",0,0,0,0,0,0,"low"
"Massachusetts","8",751768,699,0.000929808132296134,"MA","MA-8","Lynch","1686","L000562",0,0,0,0,0,0,"low"
"Massachusetts","9",736589,2754,0.00373885572551314,"MA","MA-9","Keating","2025","K000375",0.075,0.05,0,0.0125,0,0.034,"low"
"Michigan","1",703687,8733,0.0124103472140312,"MI","MI-1","Benishek","2027","B001271",0.0416666666666667,0,0,0,0,0.01,"low"
"Michigan","2",724843,6880,0.00949171061871329,"MI","MI-2","Huizenga","2028","H001058",0,0,0,0.0344827586206897,0,0.009,"low"
"Michigan","3",725487,4651,0.00641086608030192,"MI","MI-3","Amash","2029","A000367",NA,NA,NA,NA,NA,NA,"low"
"Michigan","4",702630,9326,0.0132729886284389,"MI","MI-4","Camp","166","C000071",0,0,0,0,0,0,"low"
"Michigan","5",687292,2326,0.00338429663083522,"MI","MI-5","Kildee","2134","K000380",0,0,0,0,0.166666666666667,0,"low"
"Michigan","6",712100,9141,0.0128366802415391,"MI","MI-6","Upton","1177","U000031",0,0,0,0,0,0,"low"
"Michigan","7",702894,5042,0.00717320108010596,"MI","MI-7","Walberg","1855","W000798",0.0588235294117647,0,0,0,0,0.015,"low"
"Michigan","8",725201,1341,0.00184914251359278,"MI","MI-8","Rogers","1651","R000572",0,0,0,0,0,0,"low"
"Michigan","9",720485,630,0.00087441098704345,"MI","MI-9","Levin","683","L000263",0.111111111111111,0.111111111111111,0,0.111111111111111,0,0.083,"low"
"Michigan","10",706525,6042,0.00855171437670288,"MI","MI-10","Miller","1731","M001150",0,0.125,0,0,0,0.031,"low"
"Michigan","11",718435,762,0.00106063874950413,"MI","MI-11","Bentivolio","2135","B001280",0,0,0,0,0,0,"low"
"Michigan","12",705207,1003,0.00142227743059839,"MI","MI-12","Dingell","299","D000355",0,0,0,0,0,0,"low"
"Michigan","13",687170,1299,0.00189036191917575,"MI","MI-13","Conyers Jr.","229","C000714",NA,NA,NA,NA,NA,NA,"low"
"Michigan","14",687921,253,0.0003677747880934,"MI","MI-14","Peters","1929","P000595",0.0169491525423729,0,0,0,0,0.004,"low"
"Minnesota","1",666946,17586,0.026367951828184,"MN","MN-1","Walz","1856","W000799",0,0,0,0,0,0,"low"
"Minnesota","2",689759,6233,0.00903648955649727,"MN","MN-2","Kline","1733","K000363",0,0,0,0,0,0,"low"
"Minnesota","3",685736,1721,0.00250971219244724,"MN","MN-3","Paulsen","1930","P000594",0,0,0,0,0,0,"low"
"Minnesota","4",695920,2321,0.00333515346591562,"MN","MN-4","McCollum","1653","M001143",0,0,0,0,0,0,"low"
"Minnesota","5",706584,1527,0.00216110186474644,"MN","MN-5","Ellison","1857","E000288",0.0909090909090909,0,0,0.0454545454545455,0,0.034,"low"
"Minnesota","6",684784,4624,0.00675249421715461,"MN","MN-6","Bachmann","1858","B001256",0,0,0,0,0,0,"low"
"Minnesota","7",662682,24361,0.0367612218228351,"MN","MN-7","Peterson","910","P000258",0.166666666666667,0,0,0,0,0.042,"low"
"Minnesota","8",664762,10122,0.015226502116547,"MN","MN-8","Nolan","867","N000127",0,0,0,0,0,0,"low"
"Mississippi","1",760275,6114,0.00804182697050409,"MS","MS-1","Nunnelee","2034","N000186",NA,NA,NA,NA,NA,NA,"low"
"Mississippi","2",722640,10329,0.0142934241115908,"MS","MS-2","Thompson","1151","T000193",0.0261437908496732,0,0,0.00326797385620915,0,0.007,"low"
"Mississippi","3",749430,14614,0.0195001534499553,"MS","MS-3","Harper","1933","H001045",0,0,0,0,0,0,"low"
"Mississippi","4",761734,10500,0.0137843394150714,"MS","MS-4","Palazzo","2035","P000601",0,0.0909090909090909,0,0,0,0.023,"low"
"Missouri","1",744782,1012,0.00135878686649248,"MO","MO-1","Clay","1654","C001049",0,0,0,0,0,0,"low"
"Missouri","2",758288,1435,0.00189242082164033,"MO","MO-2","Wagner","2137","W000812",0.0833333333333333,0,0,0,0,0.021,"low"
"Missouri","3",766993,5191,0.00676798875609034,"MO","MO-3","Luetkemeyer","1931","L000569",0,0.0161290322580645,0,0,0,0.004,"low"
"Missouri","4",763003,9419,0.0123446434679811,"MO","MO-4","Hartzler","2032","H001053",0.133333333333333,0.2,0,0.133333333333333,0,0.117,"low"
"Missouri","5",758442,3013,0.00397261755018841,"MO","MO-5","Cleaver II","1790","C001061",NA,NA,NA,NA,NA,NA,"low"
"Missouri","6",760291,9705,0.0127648492485114,"MO","MO-6","Graves","1656","G000546",0,0,0,0,1,0,"low"
"Missouri","7",765669,6653,0.0086891332938907,"MO","MO-7","Long","2033","L000576",0.0246913580246914,0,0,0.037037037037037,0,0.015,"low"
"Missouri","8",746121,11730,0.015721310618519,"MO","MO-8","Smith","2191","S001195",0,0,0,0.0222222222222222,0,0.006,"low"
"Missouri","8",746121,11730,0.015721310618519,"MO","MO-8","Emerson","1481","E000172",NA,NA,NA,NA,NA,NA,"low"
"Montana","1",1023579,37559,0.0366937969614461,"MT","MT-at_large","Daines","2138","D000618",0,0,0,0.0833333333333333,0,0.021,"low"
"Nebraska","1",634290,9868,0.0155575525390594,"NE","NE-1","Fortenberry","1793","F000449",NA,NA,NA,NA,NA,NA,"low"
"Nebraska","2",641045,2250,0.00350989400120116,"NE","NE-2","Terry","1566","T000459",0.0833333333333333,0,0,0,0,0.021,"low"
"Nebraska","3",606168,32237,0.0531816262158346,"NE","NE-3","Smith","1860","S001172",0.111111111111111,0,0,0.111111111111111,0,0.056,"low"
"Nevada","1",693623,1397,0.00201406239412476,"NV","NV-1","Titus","1940","T000468",0.0588235294117647,0.117647058823529,0,0,0,0.044,"low"
"Nevada","2",697426,16115,0.0231063940833866,"NV","NV-2","Amodei","2090","A000369",0.5,0,0,0,0,0.125,"low"
"Nevada","3",734973,1391,0.00189258653038955,"NV","NV-3","Heck","2040","H001055",0,0,0,0,0,0,"low"
"Nevada","4",713077,4346,0.00609471347414094,"NV","NV-4","Horsford","2147","H001066",0,0,0,0,0,0,"low"
"New Hampshire","1",665612,2550,0.00383106073808765,"NH","NH-1","Shea-Porter","1861","S001170",0,0,0,0,0,0,"low"
"New Hampshire","2",661201,4938,0.00746822826946723,"NH","NH-2","Kuster","2145","K000382",0,0,0,0,0,0,"low"
"New Mexico","1",699493,2943,0.00420733302549132,"NM","NM-1","Lujan Grisham","2146","L000580",NA,NA,NA,NA,NA,NA,"low"
"New Mexico","2",699424,23522,0.0336305302649037,"NM","NM-2","Pearce","1738","P000588",NA,NA,NA,NA,NA,NA,"low"
"New Mexico","3",686655,14129,0.0205765631940348,"NM","NM-3","Lujan","1939","L000570",NA,NA,NA,NA,NA,NA,"low"
"North Carolina","1",742851,5665,0.00762602459981881,"NC","NC-1","Butterfield","1761","B001251",0.0909090909090909,0,0,0.0909090909090909,0,0.045,"low"
"North Carolina","2",774723,4731,0.00610669878137089,"NC","NC-2","Ellmers","2036","E000291",0,0,0,0,0.0555555555555556,0,"low"
"North Carolina","3",759653,6543,0.00861314310612872,"NC","NC-3","Jones","612","J000255",NA,NA,NA,NA,NA,NA,"low"
"North Carolina","4",795798,1881,0.00236366515120671,"NC","NC-4","Price","930","P000523",0,0,0,0,0,0,"low"
"North Carolina","5",750233,3848,0.00512907323458179,"NC","NC-5","Foxx","1791","F000450",0.0625,0.25,0,0.0625,0.0625,0.094,"low"
"North Carolina","6",755280,3908,0.00517424001694736,"NC","NC-6","Coble","211","C000556",0,0,0,0,0,0,"low"
"North Carolina","7",772311,8870,0.0114850105721659,"NC","NC-7","McIntyre","1505","M000485",0.0833333333333333,0,0,0,0,0.021,"low"
"North Carolina","8",746671,5201,0.00696558457473238,"NC","NC-8","Hudson","2140","H001067",0,0,0,0,0.0222222222222222,0,"low"
"North Carolina","9",805960,940,0.00116631098317534,"NC","NC-9","Pittenger","2141","P000606",0.0416666666666667,0.0416666666666667,0,0,0.0416666666666667,0.021,"low"
"North Carolina","10",744808,2742,0.00368148569832762,"NC","NC-10","McHenry","1792","M001156",NA,NA,NA,NA,NA,NA,"low"
"North Carolina","11",744956,6027,0.00809041070882039,"NC","NC-11","Meadows","2142","M001187",0,0,0,0,0.032258064516129,0,"low"
"North Carolina","12",778251,1392,0.00178862603453128,"NC","NC-12","Watt","1207","W000207",0,0,0,0,0,0,"low"
"North Carolina","13",772469,5938,0.00768703986826656,"NC","NC-13","Holding","2143","H001065",0,0.285714285714286,0,0,0.142857142857143,0.071,"low"
"North Dakota","1",739482,41052,0.0555145358507712,"ND","ND-at_large","Cramer","2144","C001096",0,0,0,0,0,0,"low"
"Ohio","1",729726,983,0.00134708095915453,"OH","OH-1","Chabot","186","C000266",0,0.5,0,0,0,0.125,"low"
"Ohio","2",724587,2561,0.00353442719783822,"OH","OH-2","Wenstrup","2152","W000815",0,0,0,0,0,0,"low"
"Ohio","3",755499,580,0.000767704523765088,"OH","OH-3","Beatty","2153","B001281",0,0,0,0,0,0,"low"
"Ohio","4",709882,6031,0.00849577817158345,"OH","OH-4","Jordan","1868","J000289",0,0,0,0,0,0,"low"
"Ohio","5",730503,5823,0.00797121983071938,"OH","OH-5","Latta","1885","L000566",0.125,0,0,0.125,0,0.062,"low"
"Ohio","6",713457,9509,0.0133280632189466,"OH","OH-6","Johnson","2046","J000292",0,0.166666666666667,0,0,0,0.042,"low"
"Ohio","7",725548,8724,0.0120240149514574,"OH","OH-7","Gibbs","2049","G000563",0,0,0,0,0,0,"low"
"Ohio","8",722889,4127,0.00570903693374778,"OH","OH-8","Boehner","102","B000589",0,0,0,0,0,0,"low"
"Ohio","9",709813,2267,0.00319379893014076,"OH","OH-9","Kaptur","616","K000009",0.111111111111111,0.222222222222222,0,0,0,0.083,"low"
"Ohio","10",720794,1876,0.00260268537196481,"OH","OH-10","Turner","1741","T000463",0,0,0,0,0,0,"low"
"Ohio","11",699736,606,0.0008660409068563,"OH","OH-11","Fudge","1895","F000455",0,0,0,0,0,0,"low"
"Ohio","12",755978,2929,0.00387445137292355,"OH","OH-12","Tiberi","1664","T000462",0,0,0,0,0,0,"low"
"Ohio","13",707940,1017,0.00143656242054411,"OH","OH-13","Ryan","1756","R000577",0.5,0.0454545454545455,0,0,0,0.136,"low"
"Ohio","14",722474,3048,0.00421883694084493,"OH","OH-14","Joyce","2154","J000295",NA,NA,NA,NA,NA,NA,"low"
"Ohio","15",740854,3526,0.00475937229197656,"OH","OH-15","Stivers","2047","S001187",0.0645161290322581,0.032258064516129,0,0,0,0.024,"low"
